Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S2000,Anna,Kowalski,student2000@university.edu,Female,20,Computer Science,88.5,72.3,68.9,80.1,75.6,82.4,78.9,74.12,C,15.2,Yes,Yes,Bachelor's,Medium,5,7.2
S2001,Pavel,Novak,student2001@university.edu,Male,22,Engineering,94.2,85.7,79.3,88.9,82.4,85.1,90.5,83.48,B,18.7,No,Yes,Master's,High,3,6.8
S2002,Elena,Petrova,student2002@university.edu,Female,19,Mathematics,91.8,78.5,85.2,83.7,80.9,87.6,84.3,82.34,B,12.5,Yes,No,PhD,High,4,7.5
S2003,Marko,Ivanovic,student2003@university.edu,Male,21,Business,76.3,65.2,58.7,70.4,63.8,61.9,68.7,64.45,D,9.8,No,No,High School,Low,7,5.9
S2004,Sofia,Andersson,student2004@university.edu,Female,23,Physics,97.1,92.6,88.4,94.3,90.1,93.8,95.7,91.58,A,22.4,Yes,Yes,Bachelor's,Medium,2,8.1
S2005,Luca,Ferrari,student2005@university.edu,Male,18,Economics,82.7,71.5,66.2,76.8,69.3,68.4,74.6,70.56,C,11.3,Yes,No,Master's,Low,6,6.3
S2006,Nora,Olsen,student2006@university.edu,Female,20,Chemistry,89.4,80.2,75.9,85.1,78.6,82.7,87.3,80.14,B,14.6,No,Yes,High School,Medium,5,7.0
S2007,Yusuf,Kaya,student2007@university.edu,Male,24,Biology,95.6,68.9,72.5,80.3,71.2,76.8,82.4,74.61,C,17.9,Yes,Yes,None,High,3,7.8
S2008,Emma,Müller,student2008@university.edu,Female,19,Psychology,84.9,77.6,71.3,80.8,74.2,73.9,78.5,75.42,C,13.1,No,No,Bachelor's,Low,8,6.5
S2009,Aleksandr,Popov,student2009@university.edu,Male,22,Statistics,93.2,89.7,84.3,91.5,87.2,88.6,92.8,88.14,B,20.5,Yes,Yes,PhD,High,1,8.4
S2010,Zoe,Papadopoulos,student2010@university.edu,Female,21,History,79.5,63.8,59.2,70.6,62.4,61.7,67.9,63.94,D,10.7,No,Yes,Master's,Low,9,5.7
S2011,Mateusz,Wojcik,student2011@university.edu,Male,20,Philosophy,87.3,74.1,69.8,79.2,72.6,71.5,76.8,73.56,C,15.8,Yes,No,High School,Medium,6,6.9
S2012,Clara,Silva,student2012@university.edu,Female,23,Art,96.8,91.3,87.6,93.7,89.5,92.1,95.2,90.56,A,19.3,No,Yes,Bachelor's,High,2,8.2
S2013,Oskar,Jensen,student2013@university.edu,Male,18,Music,81.6,70.4,65.9,75.3,68.7,67.2,72.5,69.48,D,12.0,Yes,No,None,Low,7,6.1
S2014,Anastasia,Volkova,student2014@university.edu,Female,20,Linguistics,90.7,83.5,78.2,87.1,81.6,84.3,89.7,83.24,B,16.4,No,Yes,Master's,Medium,4,7.3
S2015,Leon,Schmidt,student2015@university.edu,Male,21,Political Science,85.2,79.6,74.8,82.9,77.3,78.1,83.5,78.92,C,14.9,Yes,No,Bachelor's,High,5,7.1
S2016,Maja,Kovac,student2016@university.edu,Female,19,Sociology,92.4,87.2,82.7,90.1,85.3,88.5,91.8,86.72,B,17.2,No,Yes,PhD,Medium,3,7.9
S2017,Erik,Nielsen,student2017@university.edu,Male,22,Geography,88.1,76.8,72.4,81.5,74.9,75.6,80.3,76.52,C,13.7,Yes,No,High School,Low,6,6.7
S2018,Laura,Rossi,student2018@university.edu,Female,18,Anthropology,78.9,62.7,58.3,69.8,61.5,60.2,66.4,62.58,D,11.5,No,No,Master's,Low,8,5.8
S2019,Tomasz,Nowak,student2019@university.edu,Male,20,Education,91.5,84.9,80.6,88.3,83.1,86.2,89.4,84.89,B,15.6,Yes,Yes,Bachelor's,Medium,4,7.6
S2020,Amira,Khan,student2020@university.edu,Female,23,Journalism,94.7,88.3,83.9,91.2,86.7,89.1,92.5,87.72,B,18.3,No,Yes,Master's,High,2,8.0
S2021,Lukas,Huber,student2021@university.edu,Male,19,Marketing,83.6,71.9,67.5,77.2,70.4,69.8,75.1,71.68,C,12.8,Yes,No,High School,Low,7,6.4
S2022,Isabella,Gomez,student2022@university.edu,Female,21,Finance,89.8,82.7,78.3,86.5,80.9,83.6,88.2,82.04,B,16.1,No,Yes,Bachelor's,Medium,5,7.4
S2023,Jan,Van den Berg,student2023@university.edu,Male,22,Accounting,86.4,79.1,75.6,82.9,77.8,80.3,84.7,79.48,C,14.3,Yes,No,Master's,High,6,6.8
S2024,Chiara,Conti,student2024@university.edu,Female,18,Nursing,95.3,90.6,86.2,93.1,89.3,91.7,94.5,89.92,A,20.8,No,Yes,PhD,Medium,1,8.3
S2025,Dimitris,Papadakis,student2025@university.edu,Male,20,Architecture,88.7,81.4,77.9,85.8,80.2,83.1,87.6,81.98,B,15.0,Yes,Yes,Bachelor's,High,4,7.2
